token	word_Dutch	word_English
ambitie	Ambitie	Ambition
ambtenaar	Ambtenaar	Civil servant
amendement	Amendement	Amendment
amev	Amev	Amev
analist	Analist	Analyst
analyse	Analyse	Analysis
andriessen	Andriessen	Andriessen
antillen	Antillen	Antilles
anwb	ANWB	ANWB
aot	AOT	AOT
aow	AOW	AOW
apg	APG	APG
apothekers	Apothekers	Pharmacists
app	App	App
apparaat	Apparaat	Device
appartementen	Appartementen	Apartments
apple	Apple	Apple
arbeiders	Arbeiders	Workers
arbeidsbureaus	Arbeidsbureaus	Employment offices
arbeidsduurverkorting	Arbeidsduurverkorting	Reduction of working hours
arbeidsmarkt	Arbeidsmarkt	Job market
arbeidsomstandigheden	Arbeidsomstandigheden	Working Conditions
arbeidsongeschikt	Arbeidsongeschikt	Incapacitated
arbeidsplaats	Arbeidsplaats	Workplace
arbeidsproductiviteit	Arbeidsproductiviteit	Labor productivity
arbeidsvoorwaarde	Arbeidsvoorwaarde	Working condition
arbeidsvoorziening	Arbeidsvoorziening	Employment provision
arcadis	Arcadis	Arcadis
arcelormittal	Arcelor Mittal	Arcelor Mittal
architecten	Architecten	Architects
argentinie	Argentiniâ	Argentiniâ
arnhem	Arnhem	Arnhem
arrest	Arrest	Judgment
arts	Arts	Doctor
asielzoekers	Asielzoekers	Asylum seekers
asml	ASML	ASML
aspect	Aspect	Aspect
asrxnederland	ASRX Nederland	ASRX Nederland
assortiment	Assortiment	Product Range
audi	Audi	Audi
australie	Australiâ	Australia
auteur	Auteur	Author
automatiseerder	Automatiseerder	Automate
automatisering	Automatisering	Automation
automobilisten	Automobilisten	Motorists
autonomie	Autonomie	Autonomy
autoriteit	Autoriteit	Authority
autoriteiten	Autoriteiten	Authorities
autoxindustrie	Auto-industrie	Car industry
awbz	AWBZ	AWBZ
axa	AXA	AXA
azen	Azen	Aces
azie	Aziâ	Aziâ
baan	Baan	Baan
bakker	Bakker	Baker
balans	Balans	Balance
balanstotaal	Balanstotaal	Balance sheet total
balkenende	Balkenende	Balkenende
bam	BAM	BAM
banco	Banco	Banco
bandbreedte	Bandbreedte	Bandwidth
banengroei	Banengroei	Job growth
bank	Bank	Bank
bankaandelen	Bank-aandelen	Bank shares
bankpresident	Bank-president	Bank president
bankverzekeraar	Bank-verzekeraar	Bank insurer
bankxofxamerica	Bank of America	Bank of America
bankxofxengland	Bank of England	Bank of England
bankxofxjapan	Bank of Japan	Bank of Japan
bankxunie	Bankenunie	Bankenunie
barcelona	Barcelona	Barcelona
barclays	Barclays	Barclays
barings	Barings	Barings
barnier	Barnier	Barnier
barosso	Barosso	Barosso
bart	Bart	Bart
bartjens	Bartjens	Bartjens
basel	Basel	Basel
basf	Basf	Basf
basispunten	Basispunten	Basis points
baten	Baten	Benefits
bayer	Bayer	Bayer
bbc	BBC	BBC
bbp	BBP	GDP
bedrijfsonderdelen	Bedrijfsonderdelen	Business units
bedrijfsresultaat	Bedrijfsresultaat	Operating result
bedrijfstakken	Bedrijfstakken	Industries
bedrijfsvereniging	Bedrijfsvereniging	Business association
bedrijfsvoering	Bedrijfsvoering	Business operations
bedrijfswinsten	Bedrijfswinsten	Business Profits
bedrijven	Bedrijven	Businesses
bedrijvigheid	Bedrijvigheid	Activity
begemann	Begemann	Begemann
begroting	Begroting	Budget
beheerder	Beheerder	Administrator
bekendheid	Bekendheid	Fame
beklemtonen	Beklemtonen	Stress
belang	Belang	Importance
belangenverstrengeling	Belangenverstrengeling	Conflict of interest
belanghebbende	Belanghebbende	Interested party
belangstelling	Belangstelling	Interest
belasting	Belasting	tax
belastingadviseurs	Belastingadviseurs	Tax advisers
belastingbetaler	Belastingbetaler	Taxpayer
belastingdienst	Belastingdienst	tax authorities
belastinggeld	Belastinggeld	Tax money
belastingheffing	Belastingheffing	Taxation
belastinginkomsten	Belastinginkomsten	Tax Revenue
belastingontwijking	Belastingontwijking	Tax evasion
belastingverhoging	Belastingverhoging	Tax increase
belastingverlaging	Belastingverlaging	Tax reduction
belastingvoordeel	Belastingvoordeel	Tax benefit
belastingvrij	Belastingvrij	Tax free
beleggingen	Beleggingen	Investments
beleggingsbeleid	Beleggingsbeleid	Investment policy
beleggingsfonds	Beleggingsfonds	Investment fund
beleggingsportefeuille	Beleggingsportefeuille	Investment portfolio
beleggingsresultaat	Beleggingsresultaat	Investment result
beleid	Beleid	Policy
beleidsmakers	Beleidsmakers	Policy makers
belgie	Belgiâ	Belgium
beloning	Beloning	Reward
bemoeienis	Bemoeienis	Interference
benchmark	Benchmark	Benchmark
benelux	Benelux	Benelux
benoeming	Benoeming	Appointment
benzine	Benzine	Gasoline
beoordeling	Beoordeling	Rating
beraad	Beraad	Consider
berekenen	Berekenen	Calculate
berentsen	Berentsen	Berentsen
berichten	Berichten	Messages
berichtgeving	Berichtgeving	Reporting
berlusconi	Berlusconi	Berlusconi
bernanke	Bernanke	Bernanke
beroepen	Beroepen	Professions
beroepsbevolking	Beroepsbevolking	Workforce
beroepsonderwijs	Beroepsonderwijs	Vocational education
beschermingsconstructies	Beschermingsconstructies	Protective structures
beslissingen	Beslissingen	Decisions
beslotenxvennootschap	Besloten vennootschap	Private limited company
besluit	Besluit	Decision
besluitvorming	Besluitvorming	Decision
besmetting	Besmetting	Contamination
besparingen	Besparingen	Savings
bestand	Bestand	File
bestedingen	Bestedingen	Spending
bestrijding	Bestrijding	Combat
bestuurders	Bestuurders	Board members
bestuursvoorzitter	Bestuursvoorzitter	Chairman of the Board
betaling	Betaling	Payment
betalingsbalans	Betalingsbalans	Balance of payment
betalingsverkeer	Betalingsverkeer	Payments
beterxbed	Beter Bed	Beter Bed
beton	Beton	Concrete
betrekkingen	Betrekkingen	Relations
beurs	Beurs	Stock market
beursdag	Beursdag	Fair day
beursgenoteerd	Beursgenoteerd	Listed
beursverslagen	Beursverslagen	Stock market reports
beveiliging	Beveiliging	Security
bevindingen	Bevindingen	Findings
bevoegdheid	Bevoegdheid	Jurisdiction
bevolking	Bevolking	Population
bevriezing	Bevriezing	Freezing
bewindsman	Bewindsman	Minister
bewindvoerder	Bewindvoerder	Receiver
bewoners	Bewoners	Residents
bezetting	Bezetting	Occupation
bezettingsgraad	Bezettingsgraad	Occupancy rate
bezittingen	Bezittingen	Possessions
bezoekers	Bezoekers	Visitors
bezuiniging	Bezuiniging	Cutbacks
biden	Biden	Biden
bieder	Bieder	Bidder
biedingen	Biedingen	Bids
bier	Bier	Beer
bierbrouwer	Bierbrouwer	Beer brewer
bijeenkomst	Bijeenkomst	Meeting
bijstand	Bijstand	Assistance
bijstelling	Bijstelling	Adjustment
binckxbank	Binck bank	Binck bank
binnenlands	Binnenlands	Domestic
binnenvaart	Binnenvaart	Inland shipping
biologische	Biologisch	Organic
biomassa	Biomassa	Biomass
biotechbedrijf	Biotechbedrijf	Biotech company
biotechnologie	Biotechnologie	Biotechnology
bis	BIS	BIS
bitcoin	Bitcoin	Bitcoin
blackrock	Blackrock	Blackrock
blackstone	Blackstone	Blackstone
blair	Blair	Blair
bloemen	Bloemen	Flowers
blokker	Blokker	Blokker
blootstelling	Blootstelling	Exposure
bmw	BMW	BMW
bnpxparibas	BNP Paribas	BNP Paribas
bnr	BNR	BNR
bod	Bod	Offer
boedel	Boedel	Estate
boeing	Boeing	Boeing
boekhouding	Boekhouding	Accountancy
boekhoudregels	Boekhoudregels	Accounting rules
boekjaar	Boekjaar	Financial year
boekwaarde	Boekwaarde	Book value
boeren	Boeren	Farmers
bolkestein	Bolkestein	Bolkestein
bolxpuntxcom	Bol.com	Bol.com
bommen	Bommen	Bombs
bondgenoten	Bondgenoten	Allies
bondskanselier	Bondskanselier	Chancellor
bondsregering	Bondsregering	Federal Government
bonus	Bonus	Bonus
boodschappen	Boodschappen	Groceries
boren	Boren	Drilling
borst	Borst	Chest
boskalis	Boskalis	Boskalis
bosnie	Bosniâ 	Bosniâ 
bossen	Bossen	Forests
boten	Boten	Boats
bouwbedrijven	Bouwbedrijven	Construction companies
bouwen	Bouwen	To build
bouwnijverheid	Bouwnijverheid	Construction industry
boycot	Boycot	Boycott
bp	BP	BP
branche	Branche	Industry
branchegenoot	Branchegenoot	Industry colleague
brancheorganisatie	Brancheorganisatie	Branch organization
brandstof	Brandstof	Fuel
brazilie	Braziliâ	Brazil
breda	Breda	Breda
brexit	Brexit	Brexit
brink	Brink	Brink
brinkhorst	Brinkhorst	Brinkhorst
brinkman	Brinkman	Brinkman
britishxairways	British Airways	British Airways
broeikasgassen	Broeikasgassen	Greenhouse gases
broer	Broer	Brother
brokers	Brokers	Brokers
brood	Brood	Bread
brouwerij	Brouwerij	Brewery
brown	Brown	Brown
brug	Brug	Bridge
brunel	Brunel	Brunel
bt	BT	BT
btw	BTW	VAT
buba	Bundesbank	Bundesbank
budget	Budget	Budget
buffers	Buffers	Buffers
buhrmannxtetterode	Buhrmann Tetterode	Buhrmann Tetterode
buitenland	Buitenland	Abroad
buitenlanders	Buitenlanders	Foreigners
buitenwereld	Buitenwereld	Outside world
bulgarije	Bulgarije	Bulgaria
buma	Buma	Buma
bureau	Bureau	Desk
bureaucratie	Bureaucratie	Bureaucracy
burgemeester	Burgemeester	Mayor
burgers	Burgers	Citizens
bush	Bush	Bush
bussen	Bussen	Buses
buurland	Buurland	Neighboring country
buy	Buy	Buy
cac	CAC-index	CAC-index
cacao	Cacao	Cacao
call	Call	Call
cameron	Cameron	Cameron
campagne	Campagne	Campaign
campinaxmelkunie	Campina Melkunie	Campina Melkunie
campus	Campus	Campus
canada	Canada	Canada
canon	Canon	Canon
cao	CAO	CAO
capaciteit	Capaciteit	Capacity
carrefour	Carrefour	Carrefour
carriere	Carriäre	Career
cash	Cash	Cash
cashflow	Cashflow	Cash flow
casino	Casino	Casino
catalaanse	Catalaanse	Catalan
cbs	CBS	Statistics Netherlands
cda	CDA	CDA
cds	CDS	CDS
cduxduitsland	CDU Duitsland	CDU Germany
celstraf	Celstraf	Prison sentence
centralexbank	Centrale bank	Central bank
ceteco	Ceteco	Ceteco
cfo	CFO	CFO
chaos	Chaos	Chaos
chauffeurs	Chauffeurs	Drivers
chemie	Chemie	Chemistry
chevron	Chevron	Chevron
chicago	Chicago	Chicago
chili	Chili	Chili
china	China	China
chips	Chips	Chips
chirac	Chirac	Chirac
christendemocratische	Christen Democratische	Christen Democratische
christenrepublikeinen	Christen Republikeinen	Christen Republikeinen
christenunie	ChristenUnie	ChristenUnie
chrysler	Chrysler	Chrysler
cijferen	Cijferen	Figures
cijfers	Cijfers	Numbers
cisco	Cisco	Cisco
citibank	Citibank	Citibank
clearing	Clearing	Clearing
cliânt	Cliânt	Client
clinton	Clinton	Clinton
cmg	CMG	CMG
cnv	CNV	CNV
coalitie	Coalitie	Coalition
cocacola	Coca-Cola	Coca-Cola
cohen	Cohen	Cohen
collectief	Collectief	Collective
collega	Collega	Colleague
colombia	Colombia	Colombia
comitÇ	ComitÇ	Committee
commercial	Commercial	Commercial
commercieel	Commercieel	Commercial
commerzbank	Commerzbank	Commerzbank
commissarissen	Commissarissen	Commissioners
commissie	Commissie	Commission
commissionair	Commissionair	Commissioner
commotie	Commotie	Commotion
communicatie	Communicatie	Communication
communisten	Communisten	Communists
componenten	Componenten	Components
computer	Computer	Computer
concerns	Concerns	Concerns
concessie	Concessies	Concessions
concessies	Concessies	Concessions
concurrentie	Concurrentie	Competition
conferentie	Conferentie	Conference
conflict	Conflict	Conflict
conglomeraat	Conglomeraat	Conglomerate
congres	Congres	Congress
conjunctuur	Conjunctuur	Business cycle
conservatief	Conservatief	Conservative
conservatieven	Conservatieven	Conservatives
consolidatie	Consolidatie	Consolidation
consortium	Consortium	Consortium
constructie	Constructie	Construction
consultancy	Consultancy	Consultancy
consumenten	Consumenten	Consumers
consumentenbond	Consumentenbond	Consumers Association
consumentenvertrouwen	Consumentenvertrouwen	Consumer confidence
consumptie	Consumptie	Consumption
contact	Contact	Contact
containers	Containers	Containers
context	Context	Context
continuãteit	Continuãteit	Continuity
contracten	Contracten	Contracts
convenant	Convenant	Covenant
conventie	Conventie	Convention
converteerbaar	Converteerbaar	Convertible
coîperatie	Coîperatie	Cooperative
corio	Corio	Corio
corporatexgovernance	Corporate Governance	Corporate Governance
corporatie	Corporatie	Corporation
corruptie	Corruptie	Corruption
corus	Corus	Corus
coupon	Coupon	Coupon
covid	COVID	COVID
cpb	Cpb	Cpb
cpixindex	CPI-index	CPI-index
crediteuren	Crediteuren	creditors
creditxsuisse	Credit Suisse	Credit Suisse
criminaliteit	Criminaliteit	Crime
crisis	Crisis	Crisis
criterium	Criterium	Criterion
crucell	Crucell	Crucell
csm	CSM	CSM
cuba	Cuba	Cuba
cultuur	Cultuur	Culture
curacao	Curaáao	Curacao
curator	Curator	Curator
cursus	Cursus	Class
cv	Curriculum Vitae	Resume
cyclus	Cyclus	Cycle
cyprus	Cyprus	Cyprus
daartegenover	Daartegenover	On the other hand
daf	Daf	Daf
daimlerxchryslerbenz	Daimler AG	Daimler AG
dal	Dal	Valley
danone	Danone	Danone
data	Data	Data
daxxindex	DAX-index	DAX-index
deadline	Deadline	Deadline
dealen	Dealen	Dealing
dealers	Dealers	Dealers
deals	Deals	Deals
debat	Debat	Debate
debiteuren	Debiteuren	Debtors
deelnemen	Deelnemen	Participate
deelnemer	Deelnemer	Participant
deelnemingen	Deelnemingen	Participations
deelstaat	Deelstaat	State
defensie	Defensie	defence
deflatie	Deflatie	Deflation
dekker	Dekker	Dekker
dekking	Dekking	Coverage
dekkingsgraad	Dekkingsgraad	Coverage ratio
delegatie	Delegatie	Delegation
dell	Dell	Dell
deloitte	Deloitte	Deloitte
delors	Delors	Delors
deltaxairlines	Delta Airlines	Delta Airlines
deltaxlloyd	Delta Lloyd	Delta Lloyd
demissionair	Demissionair	Outgoing
democratie	Democratie	Democracy
democratisch	Democratisch	Democratic
demonstratie	Demonstratie	Demonstration
demontratie	Demonstratie	Demonstration
denemarken	Denemarken	Denmark
denktank	Denktank	Thinktank
deponeren	Deponeren	Deposit
depressie	Depressie	Depression
deregulering	Deregulering	Deregulation
derivaten	Derivaten	Derivatives
desinvestering	Desinvestering	Divestment
deskundige	Deskundige	Expert
detailhandel	Detailhandel	Retail
deur	Deur	Door
deutschexbank	Deutsche Bank	Deutsche Bank
deutschextelekom	Deutsche Telekom	Deutsche Telekom
devaluatie	Devaluatie	Devaluation
dexia	Dexia	Dexia
dialoog	Dialoog	Dialogue
diefstal	Diefstal	Theft
diensten	Diensten	Services
dienstensector	Dienstensector	Service sector
dienstverlening	Dienstensector	Service sector
digitaal	Digitaal	Digital
digitalisering	Digitalisering	Digitization
dijkstra	Dijkstra	Dijkstra
dijsselbloem	Dijsselbloem	Dijsselbloem
dilemma	Dilemma	Dilemma
diplomaat	Diplomaat	Diplomat
directie	Directie	Managing board
discipline	Discipline	Discipline
discontovoet	Discontovoet	Discount rate
discriminatie	Discriminatie	Discrimination
discussie	Discussie	Discussion
disneyxpixar	Disney Pixar	Disney Pixar
distributie	Distributie	Distribution
diversificatie	Diversificatie	Diversification
diversiteit	Diversiteit	Diversity
dividend	Dividend	Dividend
divisies	Divisies	Divisions
dmark	Dmark	Dmark
dnb	DNB	DNB
docent	Docent	Lecturer
dochterbedrijf	Dochterbedrijf	Subsidiary
doden	Doden	Kill
doelgroep	Doelgroep	Target audience
doelstelling	Doelstelling	Objective
doelwit	Doelwit	Target
dollar	Dollar	Dollar
donner	Donner	Donner
doorsnee	Doorsnee	Average
doorstart	Doorstart	Restart
dorp	Dorp	Village
dossier	Dossier	File
douane	Douane	Customs
douglas	Douglas	Douglas
dowxjonesindex	Dow-Jones index	Dow Jones index
dpa	DPA	DPA
draagvlak	Draagvlak	Support base
draghi	Draghi	Draghi
draka	Draka	Draka
drank	Drank	Drink
dreiging	Dreiging	Threat
drempel	Drempel	Threshold
dresdner	Dresdner	Dresdner
dsb	DSB	DSB
dsm	DSM	DSM
dubai	Dubai	Dubai
duisenberg	Duisenberg	Duisenberg
duitsland	Duitsland	Germany
dupont	Dupont	Dupont
duurzame	Duurzaamheid	Sustainability
dxzesenzestig	D66	D66
dynamiek	Dynamiek	Dynamism
easyjet	Easyjet	Easyjet
ebita	EBITA	EBITA
ecb	ECB	ECB
ecommerce	E-commerce	E-commerce
economen	Economen	Economists
economie	Economie	Economy
ect	ECT	ECT
ecu	ECU	ECU
edf	EDF	EDF
eenwording	Eenwording	Unification
eerstexkamer	Eerste Kamer	Senate
eeuwwisseling	Eeuwwisseling	Turn of the century
effect	Effect	Effect
effecten	Effecten	Effects
effectenverkeer	Effectenverkeer	Securities transactions
effectief	Effectief	Effective
egypte	Egypte	Egypt
eib	EIB	EIB
eigenaren	Eigenaren	Owners
eigendom	Eigendom	Property
eigenxvermogen	Eigen vermogen	Equity
eiland	Eiland	Island
elektriciteit	Elektriciteit	Electricity
elektronica	Elektronica	Electronics
element	Element	Element
email	E-mail	E-mail
emissierechten	Emissie-rechten	Emission allowances
emissies	Emissies	Emissions
ems	EMS	EMS
emu	EMU	EMU
endemol	Endemol	Endemol
eneco	Eneco	Eneco
energie	Energie	Energy
energiebesparing	Energiebesparing	Energy saving
energiemarkt	Energiemarkt	Energy market
energiesector	Energiesector	Energy sector
energy	Energy	Energy
enquàte	Enquàte	Survey
enron	Enron	Enron
entertainment	Entertainment	Entertainment
eon	Eon	Eon
eplus	Eplus	Eplus
erasmus	Erasmus	Erasmus
erdogan	Erdogan	Erdogan
erfenis	Erfenis	Heritage
ericsson	Ericsson	Ericsson
ervaring	Ervaring	Experience
esm	ESM	ESM
essent	Essent	Essent
estland	Estland	Estonia
eu	Europese Unie	Europese Unie
eucommissaris	EU commissaris	EU Commissioner
eurlings	Eurlings	Eurlings
euro	Euro	Euro
euronext	Euronext	Euronext
europa	Europa	Europe
europarlement	Europarlement	European Parliament
eurostat	Eurostat	Eurostat
eurozone	Eurozone	Eurozone
euvoorzitter	EU voorzitter	EU president
euxlidstaten	EU lidstaten	EU member states
euxministers	EU ministers	EU ministers
evaluatie	Evaluatie	Evaluation
evenement	Evenement	Event
experiment	Experiment	Experiment
expert	Expert	Expert
exploitant	Exploitant	Operator
explosie	Explosie	Explosion
export	Export	Export
exporteurs	Exporteurs	Exporters
exxonmobile	ExxonMobil	ExxonMobil
ey	Ernst & Young	Ernst & Young
ez	EZ	EZ
fabricage	Fabricage	Manufacturing
fabriek	Fabriek	Factory
fabrikant	Fabrikant	Manufacturer
facebook	Facebook	Facebook
faciliteiten	Faciliteiten	Facilities
factuur	Factuur	Invoice
faillissement	Faillissement	Bankruptcy
familiebedrijf	Familiebedrijf	Family business
farmaceut	Farmaceut	Pharmaceutical
fed	Federal Reserve	Federal Reserve
federaal	Federaal	Federal
federatie	Federatie	Federation
feit	Feit	Fact
fiat	Fiat	Fiat
fietsen	Fietsen	Bicycles
filialen	Filialen	Affiliates
filippijnen	Filippijnen	Philippines
films	Films	Movies
financialxtimes	Financial Times	Financial Times
financieel	Financieel	Financial
financieelexdagblad	Financieele Dagblad	Financieelex Dagblad
financielexmarkten	Financiâle markten	Financiâle markten
financielexsector	Financiâle sector	Financiâle sector
financien	Financiân	Financiân
financiering	Financiering	Financing
financiers	Financiers	Financiers
finland	Finland	Finland
fiod	FIOD	FIOD
firma	Firma	Firm
fiscaal	Fiscaal	Tax
fitch	Fitch	Fitch
flexibilisering	Flexibilisering	Flexibility
fme	FME	FME
fnv	FNV	FNV
fokker	Fokker	Fokker
fondsbeheerder	Fondsbeheerder	Fund manager
fondsen	Fondsen	Funds
ford	Ford	Ford
formatie	Formatie	Formation
fortis	Fortis	Fortis
fox	Fox	Fox
fractie	Fractie	Fraction
fractieleider	Fractieleider	Group leader
francextelecom	France TÇlÇcom	France TÇlÇcom
frankfurt	Frankfurt	Frankfurt
frankrijk	Frankrijk	France
fraude	Fraude	Fraud
frieslandcampina	FrieslandCampina	FrieslandCampina
fruit	Fruit	Fruit
ftse	FTSE	FTSE
fugro	Fugro	Fugro
functie	Functie	Position
functionarissen	Functionarissen	Officials
fundamenteel	Fundamenteel	Fundamentally
fusie	Fusie	Merger
futures	Futures	Futures
fysiek	Fysiek	Physical
galapagos	Galapagos	Galapagos
gamma	Gamma	Gamma
garanties	Garanties	Guarantees
gas	Gas	Gas
gasprijs	Gasprijs	Gas price
gazprom	Gazprom	Gazprom
geavanceerde	Geavanceerd	Advanced
gebaren	Gebaren	Gestures
gebouw	Gebouw	Building
gebruiker	Gebruiker	User
gedeputeerde	Gedeputeerde	Deputy
gedetailleerd	Gedetailleerd	Detailed
gedragscode	Gedragscode	Code of Conduct
gedupeerden	Gedupeerden	Victims
gehoor	Gehoor	Hear
geld	Geld	Money
geldgroei	Geldgroei	Money growth
geldhoeveelheid	Geldhoeveelheid	Money supply
geldmarkt	Geldmarkt	Money market
geldschieters	Geldschieters	Lenders
geldstromen	Geldstromen	Money flows
geloofwaardigheid	Geloofwaardigheid	Credibility
gemeenschappelijk	Gemeenschappelijk	Common
gemeente	Gemeente	Township
geneesmiddelen	Geneesmiddelen	Medicines
generalxmotors	General Motors	General Motors
generaties	Generaties	Generations
geneve	Genäve	Geneva
geoxpolitiek	Geo-politiek	Geo-politiek
gepensioneerden	Gepensioneerden	Retirees
gerechtshof	Gerechtshof	Court of Justice
geregistreerd	Geregistreerd	Registered
geschiedenis	Geschiedenis	History
gespecialiseerd	Gespecialiseerd	Specialized
gesprek	Gesprek	Conversation
getronics	Getronics	Getronics
getuigen	Getuigen	Witnesses
geus	Geus	Geus
gevangenis	Gevangenis	Jail
geveke	Geveke	Geveke
gezag	Gezag	Authority
gezamenlijk	Gezamenlijk	Together
gezin	Gezin	Family
gezondheid	Gezondheid	Health
gezondheidszorg	Gezondheidszorg	healthcare
glas	Glas	Glass
globalisering	Globalisering	Globalization
goederen	Goederen	Goods
goldmansachs	Goldman Sachs	Goldman Sachs
goodwill	Goodwill	Goodwill
google	Google	Google
gorbatsjov	Gorbatsjov	Gorbachev
goud	Goud	gold
goudprijs	Goudprijs	Gold price
gouverneur	Gouverneur	Governor
graadmeter	Graadmeter	Gauge
greenpeace	Greenpeace	Greenpeace
greenspan	Greenspan	Greenspan
grenzen	Grenzen	Limits
griekenland	Griekenland	Greece
groeicijfer	Groeicijfer	Growth rate
groeimarkt	Groeimarkt	Growth market
groeiraming	Groeiraming	Growth estimate
groeitempo	Groeitempo	Growth rate
groeiversnelling	Groeiversnelling	Growth acceleration
groenink	Groenink	Groenink
groenlinks	GroenLinks	Green left
groenten	Groenten	Vegetables
groep	Groep	Group
grolsch	Grolsch	Grolsch
gronden	Gronden	Grounds
grondgebied	Grondgebied	Territory
grondstoffenmarkt	Grondstoffenmarkt	Commodity market
grondstofprijs	Grondstofprijs	Raw material price
grondwet	Grondwet	Constitution
grontmij	Grontmij	Grontmij
grootaandeelhouder	Grootaandeelhouder	Major shareholder
groothandel	Groothandel	Wholesale
grootscheeps	Grootscheeps	Large scale
gros	Gros	Gros
gucci	Gucci	Gucci
hackers	Hackers	Hackers
hagemeyer	Hagemeyer	Hagemeyer
hakken	Hakken	Heels
halfgeleiders	Halfgeleiders	Semiconductors
handel	Handel	Trade
handelshuis	Handelshuis	Trading house
handelspartner	Handelspartner	Trading partner
handen	Handen	Hands
hangxsengindex	Hang-Seng index	Hang-Seng index
harmonisatie	Harmonisatie	Harmonization
havens	Havens	Ports
hbg	HBG	HBG
hcs	HCS	HCS
hedgefonds	Hedgefonds	Hedge fund
heffingen	Heffingen	Levies
heijmans	Heijmans	Heijmans
heineken	Heineken	Heineken
heinz	Heinz	Heinz
hema	Hema	Hema
herfinanciering	Herfinanciering	Refinancing
herkomst	Herkomst	Origin
hermans	Hermans	Hermans
herschikking	Herschikking	Recast
herstructureren	Herstructureren	Restructure
hervorming	Hervorming	Reform
herziening	Herziening	Review
hewlettpackard	Hewlett-Packard	Hewlettpackard
hoechst	Hoechst	Hoechst
hoekstra	Hoekstra	Hoekstra
hofxvanxjustitie	Hof van Justitie	Court of Justice
hogerberoep	Hoger beroep	Appeal
hogeschool	Hogeschool	University
holding	Holding	Holding
hollande	Hollande	Hollande
hongarije	Hongarije	Hungary
hongkong	Hongkong	Hong-Kong
honoreren	Honoreren	Honor
